Olus_Zamani,Enlem,Boylam,Derinlik_km,Buyukluk,Yer
2025.04.23 13:01:02,40.8427,28.3802, 21.3 ,4.3 ,MARMARA DENIZI
2025.04.23 13:02:32,40.8640,28.4223, 18.7 ,5.2 ,MARMARA DENIZI
2025.04.23 13:05:43,40.8213,28.2977, 12.3 ,3.3 ,MARMARA DENIZI
2025.04.23 13:06:59,40.8662,28.4270, 22.9 ,3.6 ,MARMARA DENIZI
2025.04.23 13:07:30,40.8252,28.3233, 11.0 ,3.3 ,MARMARA DENIZI
2025.04.23 13:13:55,40.8915,28.4173, 19.6 ,3.2 ,MARMARA DENIZI
2025.04.23 13:15:52,40.8615,28.4205, 19.2 ,3.6 ,MARMARA DENIZI
2025.04.23 13:16:23,40.8683,28.4403, 12.6 ,3.6 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 13:18:51,40.8393,28.2858,  4.9 ,2.4 ,MARMARA DENIZI
2025.04.23 13:19:32,40.8765,28.4715, 16.3 ,2.1 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 13:20:26,40.9303,28.3870,  3.5 ,2.2 ,MARMARA DENIZI
2025.04.23 13:22:31,40.9405,28.2922, 28.6 ,2.2 ,MARMARA DENIZI
2025.04.23 13:24:10,40.8380,28.3143, 23.3 ,2.4 ,MARMARA DENIZI
2025.04.23 13:26:04,40.7855,28.2647,  1.8 ,3.1 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 13:26:33,40.8433,28.3365, 23.8 ,2.7 ,MARMARA DENIZI
2025.04.23 13:27:18,40.8530,28.2593, 10.3 ,2.0 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 13:28:17,40.8605,28.4267, 20.4 ,2.9 ,MARMARA DENIZI
2025.04.23 13:29:34,40.8852,28.4658, 22.3 ,2.6 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 13:30:00,40.8415,28.2655, 15.5 ,3.2 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 13:31:15,40.9422,28.2648, 29.6 ,2.6 ,MARMARA DENIZI
2025.04.23 13:32:15,40.8760,28.4078, 22.9 ,3.5 ,MARMARA DENIZI
2025.04.23 13:33:14,40.8355,28.4272, 19.4 ,3.4 ,MARMARA DENIZI
2025.04.23 13:35:32,40.9317,28.4775, 14.7 ,2.0 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 13:39:02,40.8263,28.2677, 22.9 ,3.2 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 13:39:31,40.9228,28.4430, 17.2 ,2.7 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 13:40:06,40.8092,28.2642, 22.6 ,2.1 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 13:41:19,40.8500,28.4282,  5.0 ,3.6 ,MARMARA DENIZI
2025.04.23 13:43:54,40.8518,28.4058, 19.9 ,2.6 ,MARMARA DENIZI
2025.04.23 13:45:34,40.8263,28.2945,  5.0 ,2.1 ,MARMARA DENIZI
2025.04.23 13:46:13,40.8652,28.2913, 17.0 ,4.1 ,MARMARA DENIZI
